SEED T1,KADJ O T1,KADJ D T1,KADJ EM T1,BADJ O T1,BADJ D T1,BADJ EM T1,BARTHAG T1,WIN% T1,EXP T1,TALENT T1,ELITE SOS T1,SEED T2,KADJ O T2,KADJ D T2,KADJ EM T2,BADJ O T2,BADJ D T2,BADJ EM T2,BARTHAG T2,WIN% T2,EXP T2,TALENT T2,ELITE SOS T2,WINNER
5,113.302,98.1617,15.1407,111.669,98.668,13.001,0.806,85.29412,2.425,53.401,23.012,12,116.276,98.977,17.2994,116.879,98.6,18.279,0.876,73.52941,2.033,33.82,22.886,1
4,118.089,91.7546,26.3341,117.835,92.041,25.794,0.945,75.75758,1.64,66.049,31.337,13,107.859,100.641,7.21812,108.532,99.471,9.061,0.732,78.125,2.47,26.711,10.398,0
6,125.359,100.97,24.3888,127.001,100.802,26.199,0.934,66.66667,2.197,66.184,36.393,11,112.641,98.498,14.1426,112.538,98.466,14.072,0.823,90.32258,2.226,0.2,12.625,1
3,125.335,97.2799,28.0555,126.01,96.7,29.31,0.955,75.75758,1.972,36.947,35.224,14,112.326,107.183,5.14288,112.229,106.792,5.437,0.639,78.125,2.555,0.2,8.683,0
7,116.021,92.761,23.2603,116.11,93.045,23.065,0.927,63.63636,2.526,65.96,41.748,10,112.943,95.2503,17.6925,111.898,95.449,16.449,0.862,60.60606,1.364,74.808,36.561,1
2,113.938,87.5628,26.3752,112.558,89.089,23.469,0.936,88.23529,2.12,64.078,27.94,15,111.099,110.588,0.511031,112.161,108.418,3.743,0.596,62.5,2.432,0.2,13.045,0
1,127.999,89.847,38.1518,128.453,91.272,37.181,0.981,91.17647,0.968,80.734,30.63,16,100.191,106.864,-6.67224,99.44,107.479,-8.039,0.29,63.63636,2.013,0.853,8.934,0
8,118.786,98.6992,20.0867,118.331,98.764,19.567,0.889,63.63636,2.053,58.075,38.324,9,120.886,99.7268,21.1589,120.5,99.276,21.224,0.903,56.25,1.871,56.146,42.981,1
5,116.643,96.4943,20.149,115.132,97.255,17.877,0.874,72.72727,2.452,60.009,35.999,12,112.496,98.9632,13.5325,112.808,98.229,14.579,0.831,80.64516,2.265,2.365,13.412,0
4,122.567,96.8244,25.7423,123.94,96.468,27.472,0.947,64.70588,1.92,66.268,44.259,13,113.749,107.176,6.57261,113.691,106.83,6.861,0.672,81.25,2.383,16.228,9.759,0
6,123.05,100.654,22.3965,125.443,99.09,26.353,0.938,72.72727,1.889,35.971,35.191,11,116.251,95.5473,20.7041,116.23,96.001,20.229,0.9,81.81818,2.233,34.315,16.375,0
3,123.276,96.8339,26.4425,122.43,96.113,26.317,0.942,74.28571,2.223,24.761,35.559,14,110.837,110.443,0.39472,112.006,108.986,3.02,0.578,70.96774,2.148,0.2,15.101,0
7,115.324,92.2318,23.0917,114.965,92.784,22.181,0.922,84.375,1.982,48.461,22.682,10,118.017,101.854,16.1626,118.641,101.166,17.475,0.862,62.5,1.973,36.79,35.986,0
2,126.598,96.6919,29.9064,127.634,96.356,31.278,0.962,75.75758,1.819,58.572,46.471,15,107.033,104.951,2.08242,105.898,105.022,0.876,0.524,75.75758,1.898,0.2,8.247,0
1,123.269,87.8253,35.4439,124.791,87.987,36.804,0.982,88.23529,2.278,75.695,38.577,16,101.933,106.247,-4.31392,101.289,105.708,-4.419,0.38,63.33333,2.225,7.282,8.164,0
8,123.611,96.3216,27.2891,123.304,96.427,26.877,0.944,75.75758,2.522,61.194,26.112,9,115.468,96.1035,19.3641,115.923,95.771,20.152,0.9,62.5,1.393,64.946,37.778,0
5,118.69,94.7724,23.9175,118.345,94.85,23.495,0.927,81.81818,2.503,51.614,26.367,12,114.303,100.611,13.6921,113.414,100.742,12.672,0.796,80.64516,2.515,25.961,12.768,1
4,124.163,100.363,23.8002,125.046,100.003,25.043,0.929,66.66667,1.484,73.946,38.46,13,118.496,109.181,9.31501,117.709,108.136,9.573,0.726,84.375,2.445,17.054,6.978,0
6,121.633,98.0448,23.5881,122.207,98.489,23.718,0.923,63.63636,1.177,74.592,39.298,11,115.459,98.2866,17.1723,116.256,97.789,18.467,0.88,65.625,2.524,42.959,28.812,0
3,123.868,99.6111,24.2565,123.862,98.714,25.148,0.931,66.66667,2.329,46.326,43.526,14,107.706,100.828,6.87801,106.678,100.648,6.03,0.661,67.74194,1.661,0.2,14.121,0
7,116.828,95.0405,21.7873,117.87,95.26,22.61,0.92,68.75,1.849,70.64,34.636,10,120.785,105.555,15.2291,122.555,105.19,17.365,0.853,78.125,2.077,17.856,23.021,0
2,119.981,88.5426,31.4386,119.285,91.082,28.203,0.957,79.41176,2.65,51.743,41.282,15,113.682,109.523,4.15908,111.468,109.672,1.796,0.547,53.125,2.088,0.2,12.682,0
1,128.505,93.4663,35.0385,129.049,93.653,35.396,0.976,84.84848,2.573,34.433,45.564,9,116.968,98.2653,18.7025,117.334,98.241,19.093,0.885,70.58824,1.954,59.745,31.577,0
5,116.787,94.9671,21.8201,115.121,94.416,20.705,0.907,73.52941,2.239,57.267,37.294,4,116.281,92.2075,24.0735,115.676,93.121,22.555,0.924,68.75,2.764,69.423,39.956,0
6,117.897,95.8241,22.0726,117.393,96.948,20.445,0.9,66.66667,2.701,56.397,41.324,3,119.483,92.4824,27.0002,118.876,92.347,26.529,0.948,72.72727,2.401,35.926,36.738,0
10,112.545,95.2167,17.3279,111.747,94.917,16.83,0.867,78.125,2.047,45.924,24.388,2,118.056,90.49,27.5664,116.833,91.836,24.997,0.941,81.81818,1.752,74.743,34.707,1
1,127.938,92.1126,35.8258,127.699,94.006,33.693,0.971,88.23529,1.887,28.619,37.75,8,121.965,102.633,19.3318,121.595,102.01,19.585,0.883,69.69697,1.638,87.492,30.085,0
12,116.276,98.977,17.2994,116.879,98.6,18.279,0.876,73.52941,2.033,33.82,22.886,4,118.089,91.7546,26.3341,117.835,92.041,25.794,0.945,75.75758,1.64,66.049,31.337,1
11,112.641,98.498,14.1426,112.538,98.466,14.072,0.823,90.32258,2.226,0.2,12.625,3,125.335,97.2799,28.0555,126.01,96.7,29.31,0.955,75.75758,1.972,36.947,35.224,1
10,112.943,95.2503,17.6925,111.898,95.449,16.449,0.862,60.60606,1.364,74.808,36.561,2,113.938,87.5628,26.3752,112.558,89.089,23.469,0.936,88.23529,2.12,64.078,27.94,0
1,127.999,89.847,38.1518,128.453,91.272,37.181,0.981,91.17647,0.968,80.734,30.63,9,120.886,99.7268,21.1589,120.5,99.276,21.224,0.903,56.25,1.871,56.146,42.981,0
5,116.643,96.4943,20.149,115.132,97.255,17.877,0.874,72.72727,2.452,60.009,35.999,4,122.567,96.8244,25.7423,123.94,96.468,27.472,0.947,64.70588,1.92,66.268,44.259,1
6,123.05,100.654,22.3965,125.443,99.09,26.353,0.938,72.72727,1.889,35.971,35.191,3,123.276,96.8339,26.4425,122.43,96.113,26.317,0.942,74.28571,2.223,24.761,35.559,0
7,115.324,92.2318,23.0917,114.965,92.784,22.181,0.922,84.375,1.982,48.461,22.682,2,126.598,96.6919,29.9064,127.634,96.356,31.278,0.962,75.75758,1.819,58.572,46.471,1
1,123.269,87.8253,35.4439,124.791,87.987,36.804,0.982,88.23529,2.278,75.695,38.577,8,123.611,96.3216,27.2891,123.304,96.427,26.877,0.944,75.75758,2.522,61.194,26.112,0
12,114.303,100.611,13.6921,113.414,100.742,12.672,0.796,80.64516,2.515,25.961,12.768,4,124.163,100.363,23.8002,125.046,100.003,25.043,0.929,66.66667,1.484,73.946,38.46,1
6,121.633,98.0448,23.5881,122.207,98.489,23.718,0.923,63.63636,1.177,74.592,39.298,3,123.868,99.6111,24.2565,123.862,98.714,25.148,0.931,66.66667,2.329,46.326,43.526,1
7,116.828,95.0405,21.7873,117.87,95.26,22.61,0.92,68.75,1.849,70.64,34.636,2,119.981,88.5426,31.4386,119.285,91.082,28.203,0.957,79.41176,2.65,51.743,41.282,1
1,128.505,93.4663,35.0385,129.049,93.653,35.396,0.976,84.84848,2.573,34.433,45.564,5,116.787,94.9671,21.8201,115.121,94.416,20.705,0.907,73.52941,2.239,57.267,37.294,0
6,117.897,95.8241,22.0726,117.393,96.948,20.445,0.9,66.66667,2.701,56.397,41.324,2,118.056,90.49,27.5664,116.833,91.836,24.997,0.941,81.81818,1.752,74.743,34.707,1
1,127.938,92.1126,35.8258,127.699,94.006,33.693,0.971,88.23529,1.887,28.619,37.75,4,118.089,91.7546,26.3341,117.835,92.041,25.794,0.945,75.75758,1.64,66.049,31.337,0
3,125.335,97.2799,28.0555,126.01,96.7,29.31,0.955,75.75758,1.972,36.947,35.224,10,112.943,95.2503,17.6925,111.898,95.449,16.449,0.862,60.60606,1.364,74.808,36.561,0
1,127.999,89.847,38.1518,128.453,91.272,37.181,0.981,91.17647,0.968,80.734,30.63,4,122.567,96.8244,25.7423,123.94,96.468,27.472,0.947,64.70588,1.92,66.268,44.259,0
6,123.05,100.654,22.3965,125.443,99.09,26.353,0.938,72.72727,1.889,35.971,35.191,2,126.598,96.6919,29.9064,127.634,96.356,31.278,0.962,75.75758,1.819,58.572,46.471,1
1,123.269,87.8253,35.4439,124.791,87.987,36.804,0.982,88.23529,2.278,75.695,38.577,4,124.163,100.363,23.8002,125.046,100.003,25.043,0.929,66.66667,1.484,73.946,38.46,0
3,123.868,99.6111,24.2565,123.862,98.714,25.148,0.931,66.66667,2.329,46.326,43.526,2,119.981,88.5426,31.4386,119.285,91.082,28.203,0.957,79.41176,2.65,51.743,41.282,1
1,128.505,93.4663,35.0385,129.049,93.653,35.396,0.976,84.84848,2.573,34.433,45.564,2,118.056,90.49,27.5664,116.833,91.836,24.997,0.941,81.81818,1.752,74.743,34.707,0
1,127.938,92.1126,35.8258,127.699,94.006,33.693,0.971,88.23529,1.887,28.619,37.75,3,125.335,97.2799,28.0555,126.01,96.7,29.31,0.955,75.75758,1.972,36.947,35.224,0
1,127.999,89.847,38.1518,128.453,91.272,37.181,0.981,91.17647,0.968,80.734,30.63,2,126.598,96.6919,29.9064,127.634,96.356,31.278,0.962,75.75758,1.819,58.572,46.471,0
1,123.269,87.8253,35.4439,124.791,87.987,36.804,0.982,88.23529,2.278,75.695,38.577,2,119.981,88.5426,31.4386,119.285,91.082,28.203,0.957,79.41176,2.65,51.743,41.282,0
1,128.505,93.4663,35.0385,129.049,93.653,35.396,0.976,84.84848,2.573,34.433,45.564,1,127.938,92.1126,35.8258,127.699,94.006,33.693,0.971,88.23529,1.887,28.619,37.75,1
1,127.999,89.847,38.1518,128.453,91.272,37.181,0.981,91.17647,0.968,80.734,30.63,1,123.269,87.8253,35.4439,124.791,87.987,36.804,0.982,88.23529,2.278,75.695,38.577,1
1,127.938,92.1126,35.8258,127.699,94.006,33.693,0.971,88.23529,1.887,28.619,37.75,1,123.269,87.8253,35.4439,124.791,87.987,36.804,0.982,88.23529,2.278,75.695,38.577,0
1,126.608,94.3949,32.213,127.046,93.553,33.493,0.971,91.17647059,1.709,58.255,33.643,16,110.262,114.366,-4.1041,108.238,113.963,-5.725,0.356,61.29032258,2.058,19.778,12.662,0
8,118.961,102.725,16.2359,117.264,102.99,14.274,0.816,75.75757576,2.764,21.565,20.437,9,116.657,100.752,15.9057,117.194,99.206,17.988,0.872,65.625,2.306,35.529,30.87,1
5,113.548,93.8492,19.6993,111.536,93.866,17.67,0.879,68.75,2.508,43.201,30.359,12,113.68,107.398,6.28179,112.729,106.282,6.447,0.663,66.66666667,2.218,21.521,17.731,0
4,120.579,91.6765,28.9026,120.655,92.05,28.605,0.957,79.41176471,2.195,43.053,28.032,13,110.825,101.352,9.47275,109.787,100.055,9.732,0.744,68.96551724,1.91,9.096,16.194,1
6,120.486,99.4765,21.0091,120.635,98.979,21.656,0.907,69.6969697,2.232,19.483,30.879,11,106.921,97.5497,9.37104,106.316,96.137,10.179,0.761,67.64705882,1.999,0.2,19.651,1
3,125.551,101.564,23.9871,125.323,101.087,24.236,0.922,76.47058824,2.444,56.834,32.635,14,108.989,103.52,5.46884,106.669,103.378,3.291,0.589,73.33333333,2.372,16.078,11.774,0
7,113.431,97.215,16.2158,112.793,96.623,16.17,0.856,72.72727273,1.724,30.424,25.215,10,115.619,100.904,14.7142,114.841,100.148,14.693,0.828,81.81818182,1.786,15.682,16.549,0
2,113.864,87.1458,26.7178,113.65,86.545,27.105,0.958,79.41176471,1.824,44.201,33.017,15,108.662,105.674,2.98745,107.558,104.456,3.102,0.583,61.29032258,1.819,7.614,9.978,0
1,117.796,93.151,24.6454,116.784,93.194,23.59,0.931,79.41176471,2.174,88.407,30.665,16,95.7835,105.878,-10.0944,95.002,105.016,-10.014,0.24,48.27586207,1.596,0.2,8.04,0
8,113.678,95.6951,17.9825,112.623,94.93,17.693,0.877,61.76470588,2.241,43.205,32.154,9,113.76,93.7263,20.0339,112.729,93.278,19.451,0.898,57.57575758,2.07,67.335,34.196,1
5,114.901,95.0132,19.888,115.794,93.655,22.139,0.92,78.125,1.929,38.712,19.572,12,113.478,99.5638,13.9138,111.066,99.828,11.238,0.773,87.5,2.618,14.992,11.307,1
4,125.601,103.118,22.4828,125.159,102.045,23.114,0.913,65.625,2.094,27.836,36.254,13,113.736,106.128,7.60727,113.335,105.219,8.116,0.702,78.78787879,1.788,5.524,11.135,0
6,117.426,100.489,16.9371,116.717,99.338,17.379,0.865,65.625,2.275,64.382,28.597,11,115.411,96.4738,18.9368,114.829,95.493,19.336,0.893,73.52941176,1.908,55.824,23.773,0
3,122.49,100.185,22.305,122.209,99.9,22.309,0.91,68.75,1.617,58.436,37.902,14,104.65,102.5,2.15009,102.289,101.844,0.445,0.513,72.72727273,1.902,0.2,11.19,0
7,118.601,101.304,17.2975,117.426,100.644,16.782,0.855,77.41935484,2.205,32.899,23.183,10,115.55,98.7358,16.814,115.049,98.032,17.017,0.863,78.125,2.436,28.02,22.983,0
2,121.125,94.5013,26.6237,121.52,93.619,27.901,0.953,75.75757576,1.963,76.342,29.931,15,107.857,107.862,-0.00456917,105.389,107.956,-2.567,0.431,57.57575758,2.22,11.174,12.603,0
1,118.868,87.1492,31.7188,119.216,85.519,33.697,0.979,88.23529412,2.28,63.543,34.485,16,105.712,104.753,0.95941,103.961,104.828,-0.867,0.476,58.06451613,2.323,17.521,9.715,0
8,115.866,97.6744,18.1912,115.671,95.575,20.096,0.9,69.6969697,2.43,27.887,29.05,9,115.996,99.8885,16.108,115.004,98.915,16.089,0.85,58.82352941,2.393,55.263,33.304,1
5,120.06,99.4602,20.6003,119.811,98.783,21.028,0.902,62.85714286,1.974,52.194,37.153,12,113.858,100.958,12.9001,111.935,100.381,11.554,0.778,90.90909091,2.428,3.831,9.457,1
4,121.827,96.9502,24.8767,120.797,96.829,23.968,0.927,75.0,1.152,91.61,26.968,13,107.122,100.145,6.9772,104.523,98.684,5.839,0.659,81.25,2.309,4.273,10.22,0
6,117.943,99.3985,18.5448,117.537,98.458,19.079,0.885,69.6969697,2.079,50.406,32.55,11,114.385,101.329,13.056,113.979,101.144,12.835,0.798,61.11111111,2.403,48.869,28.902,1
3,122.742,102.724,20.018,123.011,102.242,20.769,0.893,71.875,0.982,73.978,29.177,14,108.593,105.776,2.81743,107.819,104.643,3.176,0.585,67.64705882,2.571,7.281,15.066,1
7,119.317,101.129,18.1884,119.659,99.304,20.355,0.895,68.57142857,1.707,30.164,31.29,10,117.579,99.1127,18.4666,117.194,98.019,19.175,0.886,70.58823529,2.2,38.964,26.08,1
2,118.294,95.5576,22.7369,118.92,94.595,24.325,0.933,73.52941176,1.872,57.136,37.073,15,105.552,102.489,3.06263,105.196,101.795,3.401,0.593,63.33333333,2.412,32.318,9.879,0
1,124.988,95.87,29.1183,126.212,94.719,31.493,0.964,87.87878788,1.864,52.594,36.076,16,99.2736,107.084,-7.80999,97.672,106.009,-8.337,0.281,54.83870968,2.34,12.502,15.298,0
8,115.617,100.502,15.1147,114.15,100.364,13.786,0.815,80.64516129,1.918,21.975,22.529,9,115.101,97.8088,17.2923,114.5,97.108,17.392,0.869,63.63636364,2.75,53.769,32.604,0
5,120.997,99.4329,21.5641,121.233,98.61,22.623,0.915,77.41935484,1.84,72.006,23.847,12,114.033,101.171,12.8626,111.288,101.065,10.223,0.752,89.65517241,2.328,18.38,8.837,0
4,113.382,94.1566,19.2256,113.548,92.715,20.833,0.911,67.74193548,2.102,64.218,37.263,13,113.083,103.291,9.79228,111.741,102.414,9.327,0.732,84.375,2.096,14.838,11.368,0
6,114.735,99.6715,15.0632,114.369,98.863,15.506,0.842,78.78787879,2.242,43.412,28.077,11,114.036,100.607,13.4292,113.269,99.568,13.701,0.815,67.64705882,1.969,47.815,28.128,1
3,120.091,96.6912,23.3993,120.6,96.455,24.145,0.929,71.875,2.322,52.884,33.229,14,107.009,102.072,4.93709,105.033,101.548,3.485,0.596,68.75,2.584,10.97,11.931,0
7,118.526,100.122,18.4034,119.016,98.257,20.759,0.901,62.5,2.288,50.353,33.846,10,115.382,98.779,16.6027,113.795,98.131,15.664,0.846,68.75,2.578,21.58,27.18,0
2,117.021,91.0499,25.9712,115.62,91.252,24.368,0.938,75.0,2.262,55.338,34.068,15,98.5882,100.91,-2.32142,96.817,100.157,-3.34,0.404,58.06451613,1.797,0.702,9.395,0
1,126.608,94.3949,32.213,127.046,93.553,33.493,0.971,91.17647059,1.709,58.255,33.643,9,116.657,100.752,15.9057,117.194,99.206,17.988,0.872,65.625,2.306,35.529,30.87,0
5,113.548,93.8492,19.6993,111.536,93.866,17.67,0.879,68.75,2.508,43.201,30.359,13,110.825,101.352,9.47275,109.787,100.055,9.732,0.744,68.96551724,1.91,9.096,16.194,0
11,106.921,97.5497,9.37104,106.316,96.137,10.179,0.761,67.64705882,1.999,0.2,19.651,3,125.551,101.564,23.9871,125.323,101.087,24.236,0.922,76.47058824,2.444,56.834,32.635,1
7,113.431,97.215,16.2158,112.793,96.623,16.17,0.856,72.72727273,1.724,30.424,25.215,2,113.864,87.1458,26.7178,113.65,86.545,27.105,0.958,79.41176471,1.824,44.201,33.017,1
1,117.796,93.151,24.6454,116.784,93.194,23.59,0.931,79.41176471,2.174,88.407,30.665,9,113.76,93.7263,20.0339,112.729,93.278,19.451,0.898,57.57575758,2.07,67.335,34.196,0
12,113.478,99.5638,13.9138,111.066,99.828,11.238,0.773,87.5,2.618,14.992,11.307,4,125.601,103.118,22.4828,125.159,102.045,23.114,0.913,65.625,2.094,27.836,36.254,1
6,117.426,100.489,16.9371,116.717,99.338,17.379,0.865,65.625,2.275,64.382,28.597,3,122.49,100.185,22.305,122.209,99.9,22.309,0.91,68.75,1.617,58.436,37.902,0
7,118.601,101.304,17.2975,117.426,100.644,16.782,0.855,77.41935484,2.205,32.899,23.183,2,121.125,94.5013,26.6237,121.52,93.619,27.901,0.953,75.75757576,1.963,76.342,29.931,1
1,118.868,87.1492,31.7188,119.216,85.519,33.697,0.979,88.23529412,2.28,63.543,34.485,9,115.996,99.8885,16.108,115.004,98.915,16.089,0.85,58.82352941,2.393,55.263,33.304,0
12,113.858,100.958,12.9001,111.935,100.381,11.554,0.778,90.90909091,2.428,3.831,9.457,4,121.827,96.9502,24.8767,120.797,96.829,23.968,0.927,75.0,1.152,91.61,26.968,1
11,114.385,101.329,13.056,113.979,101.144,12.835,0.798,61.11111111,2.403,48.869,28.902,14,108.593,105.776,2.81743,107.819,104.643,3.176,0.585,67.64705882,2.571,7.281,15.066,0
10,117.579,99.1127,18.4666,117.194,98.019,19.175,0.886,70.58823529,2.2,38.964,26.08,2,118.294,95.5576,22.7369,118.92,94.595,24.325,0.933,73.52941176,1.872,57.136,37.073,1
1,124.988,95.87,29.1183,126.212,94.719,31.493,0.964,87.87878788,1.864,52.594,36.076,8,115.617,100.502,15.1147,114.15,100.364,13.786,0.815,80.64516129,1.918,21.975,22.529,0
5,120.997,99.4329,21.5641,121.233,98.61,22.623,0.915,77.41935484,1.84,72.006,23.847,4,113.382,94.1566,19.2256,113.548,92.715,20.833,0.911,67.74193548,2.102,64.218,37.263,0
11,114.036,100.607,13.4292,113.269,99.568,13.701,0.815,67.64705882,1.969,47.815,28.128,3,120.091,96.6912,23.3993,120.6,96.455,24.145,0.929,71.875,2.322,52.884,33.229,1
7,118.526,100.122,18.4034,119.016,98.257,20.759,0.901,62.5,2.288,50.353,33.846,2,117.021,91.0499,25.9712,115.62,91.252,24.368,0.938,75.0,2.262,55.338,34.068,1
1,126.608,94.3949,32.213,127.046,93.553,33.493,0.971,91.17647059,1.709,58.255,33.643,5,113.548,93.8492,19.6993,111.536,93.866,17.67,0.879,68.75,2.508,43.201,30.359,0
3,125.551,101.564,23.9871,125.323,101.087,24.236,0.922,76.47058824,2.444,56.834,32.635,2,113.864,87.1458,26.7178,113.65,86.545,27.105,0.958,79.41176471,1.824,44.201,33.017,0
1,117.796,93.151,24.6454,116.784,93.194,23.59,0.931,79.41176471,2.174,88.407,30.665,4,125.601,103.118,22.4828,125.159,102.045,23.114,0.913,65.625,2.094,27.836,36.254,1
6,117.426,100.489,16.9371,116.717,99.338,17.379,0.865,65.625,2.275,64.382,28.597,2,121.125,94.5013,26.6237,121.52,93.619,27.901,0.953,75.75757576,1.963,76.342,29.931,0
1,118.868,87.1492,31.7188,119.216,85.519,33.697,0.979,88.23529412,2.28,63.543,34.485,4,121.827,96.9502,24.8767,120.797,96.829,23.968,0.927,75.0,1.152,91.61,26.968,1
11,114.385,101.329,13.056,113.979,101.144,12.835,0.798,61.11111111,2.403,48.869,28.902,2,118.294,95.5576,22.7369,118.92,94.595,24.325,0.933,73.52941176,1.872,57.136,37.073,0
1,124.988,95.87,29.1183,126.212,94.719,31.493,0.964,87.87878788,1.864,52.594,36.076,5,120.997,99.4329,21.5641,121.233,98.61,22.623,0.915,77.41935484,1.84,72.006,23.847,0
3,120.091,96.6912,23.3993,120.6,96.455,24.145,0.929,71.875,2.322,52.884,33.229,2,117.021,91.0499,25.9712,115.62,91.252,24.368,0.938,75.0,2.262,55.338,34.068,1
1,126.608,94.3949,32.213,127.046,93.553,33.493,0.971,91.17647059,1.709,58.255,33.643,3,125.551,101.564,23.9871,125.323,101.087,24.236,0.922,76.47058824,2.444,56.834,32.635,0
4,125.601,103.118,22.4828,125.159,102.045,23.114,0.913,65.625,2.094,27.836,36.254,6,117.426,100.489,16.9371,116.717,99.338,17.379,0.865,65.625,2.275,64.382,28.597,0
4,121.827,96.9502,24.8767,120.797,96.829,23.968,0.927,75.0,1.152,91.61,26.968,11,114.385,101.329,13.056,113.979,101.144,12.835,0.798,61.11111111,2.403,48.869,28.902,1
1,124.988,95.87,29.1183,126.212,94.719,31.493,0.964,87.87878788,1.864,52.594,36.076,2,117.021,91.0499,25.9712,115.62,91.252,24.368,0.938,75.0,2.262,55.338,34.068,0
1,126.608,94.3949,32.213,127.046,93.553,33.493,0.971,91.17647059,1.709,58.255,33.643,4,125.601,103.118,22.4828,125.159,102.045,23.114,0.913,65.625,2.094,27.836,36.254,0
11,114.385,101.329,13.056,113.979,101.144,12.835,0.798,61.11111111,2.403,48.869,28.902,1,124.988,95.87,29.1183,126.212,94.719,31.493,0.964,87.87878788,1.864,52.594,36.076,1
1,126.608,94.3949,32.213,127.046,93.553,33.493,0.971,91.17647059,1.709,58.255,33.643,1,124.988,95.87,29.1183,126.212,94.719,31.493,0.964,87.87878788,1.864,52.594,36.076,0
1,116.097,88.5549,27.5425,115.4,88.3,27.1,0.956,85.29411765,1.13,66.119,33.7,16,107.367,107.592,-0.22505,104.4,106.2,-1.8,0.451,65.51724138,2.721,3.833,9.546,0
8,114.136,95.7662,18.3703,111.5,95.0,16.5,0.863,63.63636364,2.471,44.421,29.227,9,117.144,97.9996,19.1445,116.1,96.4,19.7,0.895,57.57575758,2.499,40.731,35.542,0
5,111.929,91.6744,20.2549,111.3,90.1,21.2,0.919,81.25,2.718,37.236,25.602,12,111.378,99.6171,11.7607,109.2,97.7,11.5,0.782,90.90909091,2.031,0.2,8.862,0
4,111.166,94.7544,16.4114,110.4,93.5,16.9,0.871,78.125,2.23,54.569,24.745,13,114.2,105.775,8.42507,111.9,104.1,7.8,0.697,77.41935484,1.893,4.159,10.319,1
6,114.621,93.9665,20.6545,113.8,92.8,21.0,0.913,63.63636364,1.549,67.359,32.269,11,113.894,100.589,13.3052,113.0,97.8,15.2,0.84,69.6969697,2.24,54.561,24.085,0
3,121.852,101.871,19.9811,120.9,99.5,21.4,0.904,68.75,1.843,57.276,36.633,14,111.335,104.693,6.6422,108.7,104.0,4.7,0.624,78.125,2.238,33.348,10.607,0
7,119.289,105.37,13.9186,117.5,103.8,13.7,0.806,72.72727273,2.645,21.934,28.374,10,117.762,98.8807,18.8814,115.5,98.0,17.5,0.869,75.75757576,2.545,15.41,22.797,0
2,119.979,97.1195,22.8595,119.7,95.4,24.3,0.932,82.35294118,1.986,73.326,29.572,15,109.093,103.527,5.5658,107.6,101.6,6.0,0.659,70.37037037,1.801,0.2,11.173,1
1,119.362,94.8154,24.5463,118.5,92.6,25.9,0.945,85.29411765,1.238,58.603,31.016,16,106.175,118.425,-12.2499,104.6,117.0,-12.4,0.216,53.125,1.943,0.2,5.422,1
8,114.701,96.0133,18.6881,113.9,94.2,19.7,0.899,76.47058824,2.802,47.843,27.313,9,114.275,96.0455,18.2298,112.2,94.8,17.4,0.874,90.625,2.036,17.083,16.095,1
